Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Badge (product.metafields.custom.badge),Emotional Axes (product.metafields.custom.emotional_axes),Focus Keyword (product.metafields.custom.focus_keyword),Highlights (product.metafields.custom.highlights),SEO Keywords (product.metafields.custom.seo_keywords),Shipping Note (product.metafields.custom.shipping_note),Short Description (product.metafields.custom.short_description),Trust Badges (product.metafields.custom.trust_badges),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Has SEO Tags (product.metafields.seo.has_seo_tags),Active ingredient (product.metafields.shopify.active-ingredient),Age group (product.metafields.shopify.age-group),Bristle material (product.metafields.shopify.bristle-material),Bristle shape (product.metafields.shopify.bristle-shape),Color (product.metafields.shopify.color-pattern),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Hair type (product.metafields.shopify.hair-type),Hold level (product.metafields.shopify.hold-level),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Moisturizer type (product.metafields.shopify.moisturizer-type),Product form (product.metafields.shopify.product-form),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Skin care effect (product.metafields.shopify.skin-care-effect),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Category,Product Type,Persona,Trend,Season,Vibe,Material,Silhouette,Detail,MVQ Persona,MVQ Editorial Style,MVQ Frames Count,MVQ Editorial Score,MVQ SEO Score,MVQ Alt Score,MVQ Detection Confidence,MVQ Persona Confidence,MVQ Category,MVQ Product Type
jaysuing-earthly-rose-perfume-light-fragrance-natural-clear-new-oriental-fragrance-of-high-grade-elegant-lady-lasting-fragrance,"Jaysuing Earthly Rose Perfume, Light Fragrance Natural Clear New Orien","Our Earthly Rose Perfume contains Alcohol, Aqua, Parfum. It can increase the sense of ritual, fragrance lasting, roses blooming warm fragrance, while pink pepper adds spice flavor, can add a deep lasting warmth, as if you are in the mysterious country of the East. Its use is very simple: to apply perfume, shake the bottle, keep it 15-20 cm away from the body, and spray the perfume on the wrists, neck, behind the ears, and inside the elbow. To help the scent spread, avoid overspraying, just spray directly on the clothing. The long-lasting fragrance gives you a light scent throughout the day, keeping you fresh throughout the day.",Dropsure,,,"beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 25",true,Title,Default Title,,,,,,,,WXX09,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,23.99,32.39,true,true,,,,,,,,,false,"Jaysuing Earthly Rose Perfume, Light Fragrance Natural Clear New Orien","Our Earthly Rose Perfume contains Alcohol, Aqua, Parfum. It can increase the sense of ritual, fragrance lasting, roses blooming warm fragrance, while pink peppe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active,,,Soft Minimalist,quiet luxury,spring,quiet luxury,,,['bow'],Soft Minimalist,commercial,0,0,60,100,0.9,0.9,,
roxelis-prolactin-perfume-fresh-light-fragrance-lasting-fragrance-mild-not-pungent-elegant-ladies-dating-niche-perfume,"Roxelis Prolactin Perfume, Fresh Light Fragrance Lasting Fragrance Mil","Our ladies' charm perfume contains propylene glycol, rose extract and 1, 2-hexanediol. It can help you attract the opposite sex, enhance your romance and boost your confidence. Its usage is very simple: Take an appropriate amount of this product and spray it evenly on the wrists, behind the ears, neck and other areas where you want to maintain the fragrance, and it will then emit a charming scent. It can boost confidence, facilitate the display of your charm, and leave a lasting fragrance.",Dropsure,,,"7.36beauty, beauty, dropsure, eprolo, fragrance, perfume, runCode.tagsToAdd, Under 25",true,Title,Default Title,,,,,,,,HYC02,0.0,dropsure-fulfillment,deny,dropsure-fulfillment,21.99,29.69,true,true,,,,,,,,,false,"Roxelis Prolactin Perfume, Fresh Light Fragrance Lasting Fragrance Mil","Our ladies' charm perfume contains propylene glycol, rose extract and 1, 2-hexanediol. It can help you attract the opposite sex, enhance your romance and boost ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active,,,Soft Minimalist,quiet luxury,summer,quiet luxury,,,[],Soft Minimalist,commercial,0,0,60,100,0.9,0.9,,
dreadlocks-gel-wax-long-lasting-moisture-dreadlocks-natural-shine-styling-gel-wax,Dreadlocks Gel Wax Long Lasting Moisture Dreadlocks Natural Shine Styl,"Our cigarette dreadlocks gel wax contains acrylic (ester) copolymers, triethanolamine. It can shape the hair, deeply repair and moisturize, provide nutrients to the hair roots, balance oil production, and make the scalp healthier. Its use method is very simple: first, please keep your hair dry before use, then take an appropriate amount of hair wax in the palm, rub it to warm it, then evenly apply it on the edge of the hair and frizzy parts, and finally smooth the hair with your fingers, adjust the local details, and create the desired shape. After use, it is durable, fast drying, non-sticky, naturally not hard, fragrant smell, no hair injury.",eprolo,,,"beauty, eprolo, haircare, runCode.tagsToAdd, Under 25",true,color,default title,,,,,,,,EEA01-A002-50-YE1,89.0,shopify,continue,manual,15.99,20.47,true,true,,,,,,,,,false,Dreadlocks Gel Wax Long Lasting Moisture Dreadlocks Natural Shine Styl,"Our cigarette dreadlocks gel wax contains acrylic (ester) copolymers, triethanolamine. It can shape the hair, deeply repair and moisturize, provide nutrients to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,4.96,active,,,Soft Minimalist,quiet luxury,fall,quiet luxury,gel,stick,[],Soft Minimalist,commercial,0,0,60,100,0.9,0.9,,
ouhoe-shampoo-and-conditioner-soap-square-red-cleanses-hair-moisturizes-scalp-repairs-damaged-hair-reduces-hair-loss-and-strengthens-hair,"OUHOE Shampoo And Conditioner Soap (Square Red) Cleanses Hair, Moistur","Our shampoo soap (square red) contains vegetable glycerin, Barbasu oil and hibiscus. It can help care for damaged and sudden hair to recover its health. Its usage is very simple: Put the product in until you start to feel your hair slipping. After rinsing off the foam, immerse your hair in water again and wet the product. Once there is enough substance on your fibers, either use your fingers or a tool to separate them and place them in your hair or beard for conditioning. And it can repair the root cause of damaged hair follicles and solve the problem.",eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,specification,Square red,,,,,,,,OU04221211-100g方形红,134.0,shopify,continue,manual,22.01,29.71,true,true,,,,,,,,,false,"OUHOE Shampoo And Conditioner Soap (Square Red) Cleanses Hair, Moistur","Our shampoo soap (square red) contains vegetable glycerin, Barbasu oil and hibiscus. It can help care for damaged and sudden hair to recover its health. Its usa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,4.96,active,home,shampoo,Soft Minimalist,quiet luxury,spring,quiet luxury,oil,table,['lace'],Soft Minimalist,commercial,0,0,60,100,0.9,0.9,home,shampoo
imagic-14-color-matte-nude-eye-shadow-pallete-cosmetics,IMAGIC 14 Color Matte Nude Eye Shadow Pallete Cosmetics,IMAGIC 14 Color Matte Nude Eye Shadow Pallete Cosmetics,eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Title,Default Title,,,,,,,,02C2E027A6D24EFF86AB46C9B9E573FA,200.0,shopify,continue,manual,20.31,27.42,true,true,,,,,,,,,false,IMAGIC 14 Color Matte Nude Eye Shadow Pallete Cosmetics,IMAGIC 14 Color Matte Nude Eye Shadow Pallete Cosmetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,3.10,active,,,,,,,,,['matte finish'],,commercial,0,0,60,100,0.9,0.9,,
imagic-lipstick-palette-lasting-natural-beauty-makeup-pigment-cosmetic-set-waterproof,IMAGIC lipstick Palette lasting natural beauty makeup Pigment Cosmetic,brand: IMAGIC Color: 5 colors as the picture show Pallete Size: App 5x4x1.7cm Lip brush Size: 10cm (open Size:15.8cm) Net Weight: 5x0.7 Oz Quantity: 1 PCS Package include: 1 x Lip Gloss Palette 1 x Lip brush Notes: 1.The real color of the item may be slightly different from the pictures shown on website caused by many factors such as brightness of your monitor and light brightness 2.Please allow slight deviation for the measurement data 3.Please allow 2-3cm error start end,eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Color,Army Green,,,,,,,,9AC63C40B746437CAB4E50959FB930E4,100.0,shopify,continue,manual,17.45,22.34,true,true,,,,,,,,,false,IMAGIC lipstick Palette lasting natural beauty makeup Pigment Cosmetic,brand: IMAGIC Color: 5 colors as the picture show Pallete Size: App 5x4x1.7cm Lip brush Size: 10cm (open Size:15.8cm) Net Weight: 5x0.7 Oz Quantity: 1 PCS Packa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,4.93,active,beauty,two-piece set,Ethereal Siren,,summer,,,stick,[],Ethereal Siren,commercial,0,0,60,100,0.9,0.9,beauty,two-piece set
music-flower-brand-makeup-eyeliner-gel-eyebrow-powder-palette-waterproof-lasting-smudgeproof-cosmetics-eye-brow-enhancers,Music Flower Brand Makeup Eyeliner Gel & Eyebrow Powder Palette Waterp,"Product Features: 3 colors combination in a palette Waterproof Eye Liner Eyeliner Shadow Gel &amp; Eyebrow Makeup Cosmetic + Brush 100% Brand New and High Quality Easy to use, has the ability to design and be creative, easy to match different make-up style The eyeliner lines and defines with smooth, even color that looks fresh all day To enhance the shape and color of your eyes by using eyeliner Easy to color, waterproof, long lasting, your eyes will looks larger and nicer Easy to precise, perfect decoration and 24h long lasting Smudge-proof &amp; Time proof Ingredient: Dimethicone,Hydrogenated Polyisobutene,BHA,Propylaraben,Methylparaben,Iron Oxides Colorant: CI 77499/CI 77492/CI 77491/CI 77007/CI 77742/CI 77891 Usage: Dip tip of the eyeliner brush provided into gel eyeliner(coat both sides of brush head).Wipe off excess on tissue before applying to eye,Draw lines along root of lashes.Repeat applying until desired length and width are attained Warm Tips: For external use only Avoid contact with eyes Please store it under shade environment and keep out of reach of children Size: 4cm X 2cm X 1cm Package Including: 1 x 3 In 1 Eyeliner Gel &amp; Eyebrow 1 x Brush",eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Color,Black,,,,,,,,26455488801440C4A92B5E38776BC89A,300.0,shopify,continue,manual,19.89,25.46,true,true,,,,,,,,,false,Music Flower Brand Makeup Eyeliner Gel & Eyebrow Powder Palette Waterp,Product Features: 3 colors combination in a palette Waterproof Eye Liner Eyeliner Shadow Gel &amp; Eyebrow Makeup Cosmetic + Brush 100% Brand New and High Quali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,2.00,active,beauty,coat,Soft Minimalist,cozy core,fall,romantic,metal,,[],Soft Minimalist,commercial,0,0,60,100,0.9,0.9,beauty,coat
music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,Music Flower Brand 6 Color Shimmer Liquid Eyeliner Pen Brightening Eye,"Specification Brand: Music Flower Type:eyeliner Net:4.8ml Color:NO1,NO2 ,NO3,NO4,NO5,NO6 Feature Waterproof,Smudge-proof ,long lasting,Quick dry,natural How to use For a natural look,draw a fine liner along the base of the upper lashes",eprolo,,,"beauty, eprolo, runCode.tagsToAdd, Under 25",true,Title,01,,,,,,,,8A6F261E861645FF924A32A68A7F7EE5,50.0,shopify,continue,manual,11.89,15.22,true,true,,,,,,,,,false,Music Flower Brand 6 Color Shimmer Liquid Eyeliner Pen Brightening Eye,"Specification Brand: Music Flower Type:eyeliner Net:4.8ml Color:NO1,NO2 ,NO3,NO4,NO5,NO6 Feature Waterproof,Smudge-proof ,long lasting,Quick dry,natural How to ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,active,beauty,,,soft glam,,,,,[],,commercial,0,0,60,100,0.9,0.9,beauty,
music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eye,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,,,,,,,02,,,,,,,,ED48C136A0694B519B1735B33BDF6BC8,50.0,shopify,continue,manual,11.89,15.22,true,true,,,,,,,,,,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eye,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eye,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,,,,,,,04,,,,,,,,87CE9EF20ABA4526A22184552E86F03A,50.0,shopify,continue,manual,11.89,15.22,true,true,,,,,,,,,,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eye,music-flower-brand-6-color-shimmer-liquid-eyeliner-pen-brightening-eyes-makeup-eye-liner-pencil-waterproof-quick-drying-eyelid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,1.64,,,,,,,,,,[],,commercial,0,0,60,100,0.9,0.9,,
